Year,Country Code,"Net trade in goods and services (BoP, current US$)",GDP (current US$),Consumer price index (2010 = 100),"Unemployment, total (% of total labor force) (national estimate)","Exports of goods and services (BoP, current US$)","Imports of goods and services (BoP, current US$)","Foreign direct investment, net (BoP, current US$)","Official exchange rate (LCU per US$, period average)"
1992 [YR1992],FR,174993071.022713,1320161644933.23,62.455911747802,9.342,232610423698.458,297718049908.214,9429508955.84586,5.29381583333333
1993 [YR1993],FR,32207609508.2742,1064958075550.63,65.3455810784169,10.237,217620862482.496,261063970052.491,-149530697.079623,5.66323
1994 [YR1994],FR,36945252882.4426,1099216688280.5,67.9932808957477,11.109,241586415260.017,281236008891.216,8641023244.7181,5.552045
1995 [YR1995],FR,45325897739.8749,1174662070605.02,71.5530164769477,11.685,290153027752.408,333745840205.57,-7915340633.12256,4.9914825
1996 [YR1996],FR,62155136415.2244,1312426527795.21,74.4201291680352,11.893,312090646866.352,334186085746.715,8389214529.86984,5.1155225
1997 [YR1997],FR,47619296427.0848,1241879604365.62,75.9406126299779,12.016,301477059713.375,323336263049.783,12439587260.4557,5.83669166666667
1998 [YR1998],FR,39886976511.7094,1270052525928.4,77.4253165947392,12.14,305619856528.042,345812275120.747,16182755399.4058,5.89951566666667
1999 [YR1999],FR,21283617653.3336,1252446659833.79,78.7132557275131,11.707,290231686375.388,365258177867.58,79455181689.7442,0.938283072395239
2000 [YR2000],FR,9333284879.73129,1146676894209.73,80.7107504637521,10.856,293207055786.341,377318221427.867,132207098895.585,1.08270508132601
2001 [YR2001],FR,13835427119.0986,1168023426056.38,82.9586783816502,9.623,299376598382.975,373930489484.206,37230890648.6579,1.11653308564468
2002 [YR2002],FR,9203889112.40756,1276769338449.3,85.0038779193305,9.231,311675879776.34,391097799391.068,1451944337.96749,1.05755899623965
2003 [YR2003],FR,6874316557.88135,1577621707050.51,87.2756537574471,8.888,367868654731.517,461568151466.489,10242909367.5663,0.884047927184961
2004 [YR2004],FR,9690602868.1818,1806542968545.56,89.201597564227,7.881,433480639093.146,542250394117.501,25513610482.5624,0.803921647747605
2005 [YR2005],FR,-3242154509.71732,1858217147203.73,90.9725106234272,7.745,456701832447.969,593171066049.779,33660365152.6492,0.803800192161416
2006 [YR2006],FR,-17269793364.716,1949551719389.64,92.8746038216872,6.79,510934484690.06,658695590245.714,51482577203.1678,0.796432730949096
2007 [YR2007],FR,-8130159638.96718,2213102482751.46,94.5739686397295,6.088,606067824116.986,759613438548.507,48449400448.7044,0.729672399984088
2008 [YR2008],FR,-19125869874.1847,2408655348718.59,97.740146777842,6.737,648980958798.683,869276966027.989,68001785591.4721,0.679922680042729
2009 [YR2009],FR,-11906355889.9447,2199928804118.63,98.497406286648,7.764,494397284485.527,698019165338.648,70295520050.0789,0.716957702016136
2010 [YR2010],FR,-39279503930.1584,2136099955236.67,100,8.381,535848576522.654,752868287730.483,33671093773.6308,0.754308990105979
2011 [YR2011],FR,-30653190427.9422,2294994296589.5,102.780632728793,8.377,618431386149.84,880374278217.06,20277561650.9937,0.718413898653322
2012 [YR2012],FR,23692648335.381,2086957656821.6,105.90656520528,10.678,593023876116.246,833079661254.391,19070158223.0146,0.778338120416812
2013 [YR2013],FR,51532156295.3373,2141924094298.56,107.198618335037,12.175,613418932908.339,867174797835.483,-13973846914.2207,0.752945122702002
2014 [YR2014],FR,62098215935.2281,2162009615996.54,107.457017849343,12.717,628972523184.647,889731847418.981,47288734074.2787,0.752728196932591
